country,region
Afghanistan,Central Asia
Albania,Eastern Europe
Algeria,Africa
Andorra,Western Europe
Antigua & Deps,Caribbean
Argentina,South America
Armenia,Eastern Europe
Australia,Oceania
Austria,Western Europe
Azerbaijan,Central Asia
Bahamas,Caribbean
Bahrain,Middle East
Bangladesh,South Asia
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Central America
Bolivia,South America
Bosnia Herzegovina,Eastern Europe
Botswana,Africa
Brazil,South America
Bulgaria,Eastern Europe
Burkina,Africa
Cambodia,Southeast Asia
Canada,North America
Chile,South America
China,East Asia
Colombia,South America
Costa Rica,Central America
Croatia,Eastern Europe
Cyprus,Middle East
Czech Republic,Eastern Europe
Denmark,Western Europe
Dominican Republic,Caribbean
Ecuador,South America
Egypt,Middle East
El Salvador,Central America
Estonia,Eastern Europe
Finland,Western Europe
France,Western Europe
Georgia,Eastern Europe
Germany,Western Europe
Ghana,Africa
Greece,Western Europe
Grenada,Caribbean
Haiti,Caribbean
Hungary,Eastern Europe
Iceland,Western Europe
India,South Asia
Indonesia,Southeast Asia
Iran,Middle East
Iraq,Middle East
Ireland {Republic},Western Europe
Israel,Middle East
Italy,Western Europe
Ivory Coast,Africa
Japan,East Asia
Jordan,Middle East
Kazakhstan,Central Asia
Kenya,Africa
Korea South,East Asia
Kosovo,Eastern Europe
Kyrgyzstan,Central Asia
Laos,Southeast Asia
Latvia,Eastern Europe
Lithuania,Eastern Europe
Luxembourg,Western Europe
Macedonia,Eastern Europe
Madagascar,Africa
Malaysia,Southeast Asia
Malta,Eastern Europe
Mauritania,Africa
Mexico,Central America
Moldova,Eastern Europe
Mongolia,East Asia
Morocco,Africa
"Myanmar, {Burma}",Southeast Asia
Nepal,South Asia
Netherlands,Western Europe
New Zealand,Oceania
Nigeria,Africa
Norway,Western Europe
Pakistan,South Asia
Palestine,Middle East
Paraguay,South America
Peru,South America
Philippines,Southeast Asia
Poland,Eastern Europe
Portugal,Western Europe
Qatar,Middle East
Romania,Eastern Europe
Russian Federation,Eastern Europe
San Marino,Western Europe
Sao Tome & Principe,Africa
Saudi Arabia,Middle East
Serbia,Eastern Europe
Singapore,Southeast Asia
Slovakia,Eastern Europe
Slovenia,Eastern Europe
South Africa,Africa
Spain,Western Europe
Sri Lanka,South Asia
Sudan,Africa
Sweden,Western Europe
Switzerland,Western Europe
Syria,Middle East
Taiwan,East Asia
Thailand,Southeast Asia
Tunisia,Africa
Turkey,Middle East
Uganda,Africa
Ukraine,Eastern Europe
United Arab Emirates,Middle East
United Kingdom,Western Europe
United States,North America
Uruguay,South America
Uzbekistan,Central Asia
Venezuela,South America
Vietnam,Southeast Asia
Yemen,Middle East
Angola,Africa
Barbados,Caribbean
Bhutan,South Asia
Burundi,Africa
Cameroon,Africa
Cuba,Caribbean
Ethiopia,Africa
Fiji,Oceania
Guatemala,Central America
Guinea,Africa
Guyana,South America
Jamaica,Caribbean
Korea North,East Asia
Lebanon,Middle East
Liechtenstein,Western Europe
Malawi,Africa
Maldives,South Asia
Mauritius,Africa
Montenegro,Eastern Europe
Namibia,Africa
Nicaragua,Central America
Niger,Africa
Panama,Central America
Rwanda,Africa
St Kitts & Nevis,Caribbean
Tanzania,Africa
Togo,Africa
Trinidad & Tobago,Caribbean
Vanuatu,Oceania
Zambia,Africa
Zimbabwe,Africa
Antarctica,Antarctica
Benin,Africa
Bermuda,Caribbean
Chad,Africa
Djibouti,Africa
Dominica,Caribbean
East Timor,Southeast Asia
Gabon,Africa
Honduras,Central America
Kuwait,Middle East
Monaco,Western Europe
Oman,Middle East
Sierra Leone,Africa
Suriname,South America
Tajikistan,Central Asia
Vatican City,Western Europe
Central African Rep,Africa
Mozambique,Africa
Seychelles,Africa
Somalia,Africa
